"序号","文件名","扩展名","大小MB","一级目录","模块","内容类型","建议标签","格式处理建议","相对路径","完整路径"
"74","全新版 新课程改革专项练习.pdf",".pdf","0.21","西安高层次人才教育类","新课程改革","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版 新课程改革专项练习.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版 新课程改革专项练习.pdf"
"75","全新版 新课改模拟题共2套.pdf",".pdf","0.28","西安高层次人才教育类","新课程改革","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版 新课改模拟题共2套.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版 新课改模拟题共2套.pdf"
"76","全新版《新课改》复习提纲要点.doc",".doc","0.12","西安高层次人才教育类","新课程改革","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版《新课改》复习提纲要点.doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版《新课改》复习提纲要点.doc"
"77","全新版《新课改》考点梳理.pdf",".pdf","0.17","西安高层次人才教育类","新课程改革","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版《新课改》考点梳理.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\6、新课程改革\全新版《新课改》考点梳理.pdf"
"78","新课程改革复习精华.pdf",".pdf","0.5","西安高层次人才教育类","新课程改革","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\新课程改革复习精华.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\全新版教师招聘-分模块模拟练习重点一一击破\7、综合演练\新课程改革复习精华.pdf"
"79","新课改核心理念（5页）.pdf",".pdf","0.16","西安高层次人才教育类","新课程改革","预测押题","冲刺","保留原格式","西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\新课改核心理念\新课改核心理念（5页）.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【预测题库】西安高层次人才教育类招聘考试教育综合知识复习资料新版\新课改核心理念\新课改核心理念（5页）.pdf"
"80","《重点》全新【职测】高频考点讲义汇总.pdf",".pdf","1.84","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\《重点》全新【职测】高频考点讲义汇总.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\《重点》全新【职测】高频考点讲义汇总.pdf"
"81","《重点》全新【职测】三色笔记加强记忆版.pdf",".pdf","16.36","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\《重点》全新【职测】三色笔记加强记忆版.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\《重点》全新【职测】三色笔记加强记忆版.pdf"
"82","《重点》全新【职测】题库必考预测试题.pdf",".pdf","7.22","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\《重点》全新【职测】题库必考预测试题.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\《重点》全新【职测】题库必考预测试题.pdf"
"83","【全新版】历年试题汇编模拟卷二.pdf",".pdf","0.81","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷二.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷二.pdf"
"84","【全新版】历年试题汇编模拟卷三.pdf",".pdf","0.67","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷三.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷三.pdf"
"85","【全新版】历年试题汇编模拟卷四.pdf",".pdf","0.67","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷四.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷四.pdf"
"86","【全新版】历年试题汇编模拟卷一.pdf",".pdf","0.68","西安高层次人才教育类","职测/行测","预测押题","冲刺","保留原格式","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷一.pdf","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\【全新版】历年试题汇编模拟卷一.pdf"
"87","新版行政职业能力测验模拟卷  (1).doc",".doc","0.51","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (1).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (1).doc"
"88","新版行政职业能力测验模拟卷  (10).doc",".doc","1.16","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (10).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (10).doc"
"89","新版行政职业能力测验模拟卷  (11).doc",".doc","0.31","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (11).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (11).doc"
"90","新版行政职业能力测验模拟卷  (12).doc",".doc","0.5","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (12).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (12).doc"
"91","新版行政职业能力测验模拟卷  (13).doc",".doc","0.41","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (13).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (13).doc"
"92","新版行政职业能力测验模拟卷  (14).doc",".doc","0.51","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (14).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (14).doc"
"93","新版行政职业能力测验模拟卷  (15).doc",".doc","2.21","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (15).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (15).doc"
"94","新版行政职业能力测验模拟卷  (16).doc",".doc","0.47","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (16).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (16).doc"
"95","新版行政职业能力测验模拟卷  (17).doc",".doc","0.28","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (17).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (17).doc"
"96","新版行政职业能力测验模拟卷  (18).doc",".doc","0.32","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (18).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (18).doc"
"97","新版行政职业能力测验模拟卷  (19).doc",".doc","0.27","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (19).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (19).doc"
"98","新版行政职业能力测验模拟卷  (2).doc",".doc","0.57","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (2).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (2).doc"
"99","新版行政职业能力测验模拟卷  (20).doc",".doc","0.33","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (20).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (20).doc"
"100","新版行政职业能力测验模拟卷  (21).doc",".doc","0.6","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (21).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (21).doc"
"101","新版行政职业能力测验模拟卷  (22).doc",".doc","0.66","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (22).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (22).doc"
"102","新版行政职业能力测验模拟卷  (23).doc",".doc","0.54","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (23).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (23).doc"
"103","新版行政职业能力测验模拟卷  (24).doc",".doc","0.32","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (24).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (24).doc"
"104","新版行政职业能力测验模拟卷  (25).doc",".doc","0.52","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (25).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (25).doc"
"105","新版行政职业能力测验模拟卷  (26).doc",".doc","0.32","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (26).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (26).doc"
"106","新版行政职业能力测验模拟卷  (27).doc",".doc","0.35","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (27).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (27).doc"
"107","新版行政职业能力测验模拟卷  (28).doc",".doc","0.3","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (28).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (28).doc"
"108","新版行政职业能力测验模拟卷  (29).doc",".doc","0.51","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (29).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (29).doc"
"109","新版行政职业能力测验模拟卷  (3).doc",".doc","0.69","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (3).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (3).doc"
"110","新版行政职业能力测验模拟卷  (30).doc",".doc","0.51","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (30).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (30).doc"
"111","新版行政职业能力测验模拟卷  (4).doc",".doc","0.23","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (4).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (4).doc"
"112","新版行政职业能力测验模拟卷  (5).doc",".doc","0.5","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (5).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (5).doc"
"113","新版行政职业能力测验模拟卷  (6).doc",".doc","0.5","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (6).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (6).doc"
"114","新版行政职业能力测验模拟卷  (7).doc",".doc","1.43","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (7).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (7).doc"
"115","新版行政职业能力测验模拟卷  (8).doc",".doc","0.69","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (8).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (8).doc"
"116","新版行政职业能力测验模拟卷  (9).doc",".doc","0.42","西安高层次人才教育类","职测/行测","预测押题","冲刺","暂不批量转换，精选后再处理","西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (9).doc","F:\BaiduNetdiskDownload\教学资料\西安高层次人才教育类\【重点必过】西安高层次人才教育类招聘职业能力测试讲义题库重点\5. 全真测试-《行政职业能力测试》历年试题模拟预测名师密押试卷\新版《行政职业能力测试》模拟卷2\新版行政职业能力测验模拟卷  (9).doc"
